bs, count, timevalue
1,1,0.00113107
1,1,0.000137694
1,1,0.000130705
1,1,0.000130338
1,1,0.000133125
1,1,0.00131813
1,1,0.000139898
1,1,0.000139527
1,1,0.000137192
1,1,0.000135221
1,1,0.00112502
1,1,0.000250735
1,1,0.000136809
1,1,0.000131789
1,1,0.000249323
1,1,0.00105503
1,1,0.000126555
1,1,0.000138704
1,1,0.000137823
1,1,0.000131637
1,1,0.00126493
1,1,0.000139675
1,1,0.000166977
1,1,0.000139116
1,1,0.000155379
1,1,0.00205941
1,1,0.000189543
1,1,0.000154378
1,1,0.00015372
1,1,0.000153155
1,1,0.00126027
1,1,0.000149098
1,1,0.000163335
1,1,0.000156715
1,1,0.000156642
1,1,0.00124256
1,1,0.000353012
1,1,0.000177602
1,1,0.000176695
1,1,0.000168987
1,1,0.00133889
1,1,0.000159626
1,1,0.000149775
1,1,0.000148732
1,1,0.000142352
1,1,0.00180817
1,1,0.00014632
1,1,0.000160442
1,1,0.000142291
1,1,0.000146828
1,1,0.00119004
1,1,0.000142042
1,1,0.000145991
1,1,0.000144446
1,1,0.000154157
1,1,0.00118347
1,1,0.000147739
1,1,0.00014609
1,1,0.000153386
1,1,0.000186301
1,1,0.00137736
1,1,0.000138971
1,1,0.000249065
1,1,0.000134401
1,1,0.000152053
1,1,0.00126963
1,1,0.000139976
1,1,0.000141021
1,1,0.000142662
1,1,0.000132935
1,1,0.00122707
1,1,0.000135359
1,1,0.000133785
1,1,0.000134289
1,1,0.000255526
1,1,0.00101504
1,1,0.000127694
1,1,0.000127403
1,1,0.000126827
1,1,0.000128546
1,1,0.000989341
1,1,0.000130164
1,1,0.000134133
1,1,0.000134641
1,1,0.00013005
1,1,0.00183667
1,1,0.000167921
1,1,0.000143093
1,1,0.000149333
1,1,0.000137198
1,1,0.00128536
1,1,0.0001515
1,1,0.000137314
1,1,0.000136128
1,1,0.000129865
1,1,0.00122469
1,1,0.000150043
1,1,0.000177701
1,1,0.000161181
1,1,0.000267983
1,1,0.00180804
1,1,0.000141693
1,1,0.000143969
1,1,0.000153792
1,1,0.000151834
1,1,0.00138173
1,1,0.000137916
1,1,0.000139317
