bs, count, timevalue
1,1,9.1167e-05
1,1,9.582e-05
1,1,9.256e-05
1,1,9.372e-05
1,1,9.6187e-05
1,1,9.6522e-05
1,1,9.085e-05
1,1,9.1701e-05
1,1,0.000102053
1,1,9.0843e-05
1,1,9.4564e-05
1,1,9.1663e-05
1,1,9.0662e-05
1,1,0.000102016
1,1,9.0011e-05
1,1,0.000102524
1,1,9.0157e-05
1,1,8.9214e-05
1,1,9.0151e-05
1,1,9.5709e-05
1,1,8.958e-05
1,1,9.153e-05
1,1,9.1485e-05
1,1,9.0954e-05
1,1,0.000101862
1,1,9.0066e-05
1,1,9.3144e-05
1,1,9.4867e-05
1,1,9.3395e-05
1,1,9.3488e-05
1,1,9.5583e-05
1,1,0.000205222
1,1,9.0651e-05
1,1,0.000110801
1,1,9.2524e-05
1,1,9.4102e-05
1,1,0.000116046
1,1,9.5919e-05
1,1,0.000119326
1,1,0.000116718
1,1,0.000107318
1,1,0.000107865
1,1,0.000102364
1,1,0.000106406
1,1,0.000102973
1,1,0.000101479
1,1,0.000104545
1,1,0.000101663
1,1,0.000103874
1,1,0.000107814
1,1,0.000100077
1,1,0.000114052
1,1,9.9058e-05
1,1,0.000105113
1,1,0.00010711
1,1,0.000104804
1,1,0.000105839
1,1,0.000110967
1,1,0.000108726
1,1,0.000103712
1,1,0.000102674
1,1,0.000159398
1,1,0.000104017
1,1,0.00010159
1,1,0.000109653
1,1,0.000104153
1,1,0.000117658
1,1,0.0001157
1,1,0.000113064
1,1,0.00010345
1,1,0.000116341
1,1,0.000105284
1,1,0.000104602
1,1,0.000102275
1,1,0.000103181
1,1,0.000106054
1,1,0.000100701
1,1,9.8425e-05
1,1,9.8065e-05
1,1,9.7397e-05
1,1,9.9954e-05
1,1,9.6832e-05
1,1,0.000101406
1,1,9.5678e-05
1,1,9.4073e-05
1,1,9.6773e-05
1,1,9.748e-05
1,1,0.000107441
1,1,9.3757e-05
1,1,0.000101216
1,1,9.3859e-05
1,1,0.000101966
1,1,9.5619e-05
1,1,9.5233e-05
1,1,9.6764e-05
1,1,9.2952e-05
1,1,9.2961e-05
1,1,9.1521e-05
1,1,0.000103414
1,1,9.605e-05
1,1,9.8146e-05
1,1,9.2032e-05
1,1,9.3729e-05
1,1,0.000103118
1,1,9.1783e-05
1,1,9.3576e-05
1,1,9.6508e-05
1,1,0.000220608
1,1,9.5954e-05
1,1,9.7348e-05
1,1,0.000104909
1,1,9.1883e-05
1,1,9.5375e-05
1,1,9.6681e-05
1,1,9.0857e-05
1,1,9.4508e-05
