bs, count, timevalue
1,1,0.00010217
1,1,0.000118986
1,1,0.000100344
1,1,0.000103741
1,1,0.000107796
1,1,0.000100952
1,1,9.9743e-05
1,1,0.000106679
1,1,9.8957e-05
1,1,9.7957e-05
1,1,0.000103551
1,1,0.000105662
1,1,0.000101249
1,1,0.000100211
1,1,0.000103537
1,1,9.9866e-05
1,1,9.7168e-05
1,1,9.7784e-05
1,1,9.7898e-05
1,1,0.000109093
1,1,9.9248e-05
1,1,9.8074e-05
1,1,9.9021e-05
1,1,9.6375e-05
1,1,9.8957e-05
1,1,0.000100692
1,1,0.000101582
1,1,0.000112164
1,1,9.7195e-05
1,1,9.7957e-05
1,1,9.7928e-05
1,1,9.9016e-05
1,1,9.8867e-05
1,1,0.000117975
1,1,9.9674e-05
1,1,0.000103008
1,1,0.000100328
1,1,0.000227
1,1,9.9506e-05
1,1,0.000100835
1,1,9.6712e-05
1,1,0.000100339
1,1,0.000100418
1,1,0.000102022
1,1,0.000100235
1,1,9.9354e-05
1,1,9.5985e-05
1,1,9.9475e-05
1,1,9.809e-05
1,1,9.6697e-05
1,1,9.5429e-05
1,1,9.864e-05
1,1,9.5559e-05
1,1,0.000103758
1,1,9.913e-05
1,1,9.9727e-05
1,1,9.8901e-05
1,1,9.7931e-05
1,1,9.8607e-05
1,1,0.000109393
1,1,0.000102207
1,1,0.000102777
1,1,0.00010098
1,1,9.9712e-05
1,1,0.00010021
1,1,0.000128469
1,1,9.987e-05
1,1,9.925e-05
1,1,9.8244e-05
1,1,0.000100322
1,1,0.000109838
1,1,9.7735e-05
1,1,0.000101214
1,1,0.000126245
1,1,0.000103184
1,1,0.000105028
1,1,0.000111826
1,1,0.000100083
1,1,0.000100591
1,1,0.000110295
1,1,0.000102293
1,1,9.9123e-05
1,1,0.000101118
1,1,0.000104028
1,1,0.00010093
1,1,0.000105315
1,1,0.000103882
1,1,0.000104588
1,1,0.00011294
1,1,0.000102206
1,1,9.9666e-05
1,1,0.000110497
1,1,0.000102468
1,1,0.000102738
1,1,0.000107832
1,1,0.00010305
1,1,0.000103583
1,1,0.000127123
1,1,0.00010148
1,1,0.000100776
1,1,9.9006e-05
1,1,0.00012772
1,1,9.9748e-05
1,1,0.000100506
1,1,9.9302e-05
1,1,9.9133e-05
1,1,0.000100985
1,1,9.776e-05
1,1,9.836e-05
1,1,9.9984e-05
1,1,0.00010298
1,1,0.000102588
1,1,0.000100835
1,1,0.000102969
1,1,0.000137368
1,1,0.000138938
1,1,0.000105174
1,1,0.000103229
1,1,9.9565e-05
1,1,0.000110783
1,1,9.9792e-05
1,1,9.9779e-05
1,1,0.000176297
1,1,9.8233e-05
1,1,9.937e-05
1,1,0.000111875
1,1,9.6385e-05
1,1,9.8905e-05
1,1,0.000103488
1,1,0.000117928
1,1,0.000110888
1,1,9.9542e-05
1,1,0.000100425
1,1,0.000123154
1,1,0.000104004
1,1,0.00010047
1,1,0.000101789
1,1,0.00010096
1,1,0.000100901
1,1,0.00010852
1,1,0.000101476
1,1,9.6948e-05
1,1,9.8909e-05
1,1,9.3829e-05
1,1,9.7152e-05
1,1,9.8164e-05
1,1,9.8506e-05
1,1,9.7469e-05
1,1,9.6649e-05
1,1,0.000230147
1,1,9.7803e-05
1,1,9.9422e-05
1,1,0.000100283
1,1,0.000101606
1,1,0.000101104
1,1,0.00010048
1,1,0.000100471
1,1,0.000115363
1,1,0.000105058
1,1,0.000105448
1,1,9.7502e-05
1,1,0.000110533
1,1,0.00010559
1,1,9.9811e-05
1,1,9.5268e-05
1,1,9.7836e-05
1,1,0.000108063
1,1,9.5705e-05
1,1,9.7057e-05
1,1,9.9076e-05
1,1,0.000228222
1,1,9.8525e-05
1,1,0.000102316
1,1,0.000235935
1,1,9.921e-05
1,1,0.000102574
1,1,0.000230016
1,1,9.7954e-05
1,1,9.9107e-05
1,1,0.000101333
1,1,9.7996e-05
1,1,9.6984e-05
1,1,0.000101489
1,1,0.000103971
1,1,9.998e-05
1,1,0.00010012
1,1,9.9594e-05
1,1,9.8538e-05
1,1,9.9955e-05
1,1,9.9042e-05
1,1,0.000110318
1,1,9.7807e-05
1,1,9.5847e-05
1,1,0.000118726
1,1,0.000103171
1,1,0.000107456
1,1,0.000104149
1,1,0.000214924
1,1,0.000136386
1,1,0.000103057
1,1,0.000240702
1,1,0.000100064
1,1,0.000101947
1,1,9.6696e-05
1,1,9.7779e-05
1,1,9.648e-05
1,1,9.6218e-05
1,1,9.5988e-05
1,1,9.6786e-05
1,1,9.8018e-05
1,1,9.5303e-05
1,1,0.000107614
1,1,9.6428e-05
1,1,0.00012103
1,1,0.000106785
1,1,0.000225883
1,1,0.000103034
1,1,0.000100327
1,1,0.000227165
1,1,9.6681e-05
1,1,0.000100605
1,1,0.000231178
1,1,0.000103333
1,1,9.8122e-05
1,1,0.00010095
1,1,0.000117883
1,1,0.000103267
1,1,0.000103251
1,1,0.000100427
1,1,0.000101353
1,1,0.000100793
1,1,9.7791e-05
1,1,0.000134964
1,1,0.000105808
1,1,0.00010307
1,1,0.000104575
1,1,0.000102541
1,1,0.000112463
1,1,0.000104811
1,1,0.000103322
1,1,0.000103358
1,1,0.000104043
1,1,0.000103838
1,1,0.000107514
1,1,0.000117968
1,1,0.000106666
1,1,0.0001152
1,1,0.000112036
1,1,0.000109923
1,1,0.000110241
1,1,0.000107316
1,1,0.000106318
1,1,0.000106961
1,1,0.000109456
1,1,0.000105607
1,1,0.000104066
1,1,0.000104731
1,1,0.000121346
1,1,0.000102413
1,1,0.00011443
1,1,0.000108648
1,1,0.000104626
1,1,0.000104477
